question_text,question_image,option_a,option_b,option_c,option_d,option_e,correct_answer,score_weight
"Apabila tidak pernah menang dalam kompetisi tingkat daerah, atlet tidak boleh
ikut audisi untuk pertandingan nasional. Hal ini berlaku bagi atlet badminton.
Manakah simpulan berikut yang BENAR?",,Atlet badminton diharapkan menang dalam kompetisi daerah agar dapat mengikuti kegiatan audisi nasional.,"Semua atlet boleh ikut audisi untuk pertandingan nasional jika pernah me-
nang dalam kompetisi daerah.","Para atlet boleh ikut audisi untuk pertandingan nasional meski tidak pernah
menang di kompetisi daerah.","Semua atlet pernah menang dalam kegiatan kompetisi di tingkat daerah,
kecuali para pemain badminton.","Atlet badminton tidak boleh mengikuti audisi pertandingan nasional jika
tidak pernah menang di kompetisi daerah.",e,5
"Siswa Sekolah JKH yang menjadi juara nasional paduan suara mampu membuat
lagu. Sebagian dari mereka juga mampu bermain teater musikal lebih baik dari
siswa sekolah lain. Berdasarkan informasi di atas, manakah simpulan yang PALING TEPAT?",,"Semua siswa Sekolah JKH yang menjadi juara nasional lomba paduan suara
mampu bermain teater musikal.","Sebagian siswa yang kurang mahir dalam bermain teater bukan merupakan
siswa dari Sekolah JKH.","Siswa Sekolah JKH yang memenangkan juara nasional lomba paduan suara
mampu membuat lagu dan bermain teater.","Beberapa siswa Sekolah JKH mampu membuat lagu, namun tidak bisa
membuat teater musikal.
",Beberapa siswa Sekolah JKH yang dapat membuat lagu juga dapat bermain teater musikal lebih baik dari sekolah lain.,e,5
"Pada akhir pekan, SR akan menemani ibu arisan atau mengantar kakak bertemu
temannya. Adiknya mengajaknya mengunjungi pameran buku. Karena lokasi
pameran terlalu jauh, keduanya tidak jadi pergi ke pameran buku. Apa yang
PALING MUNGKIN dilakukan SR pada akhir pekan?",,Menemani ibu arisan dan mengantar kakak bertemu temannya.,Menikmati akhir minggu dengan bersantai bersama keluarga di rumah.,Menemani ibu arisan atau mengantar kakak bertemu temannya.,"Menemani ibu arisan, tetapi tidak mengantar kakak bertemu temannya.","Mengantar kakak bertemu temannya, tetapi tidak menemani ibu arisan.",c ,5
"Ketika festival seni tradisional diadakan di Pulau ABC, jumlah wisatawan me-
ningkat dibandingkan ketika kegiatan tersebut tidak dilakukan. Hal serupa ter-
jadi ketika pameran lukisan diadakan di Pulau ABC. Namun, ketika Pulau ABC

mengadakan perayaan adat daerah, jumlah wisatawan yang datang tidak meng-
alami peningkatan. Berdasarkan informasi di atas manakah dari pernyataan ber-
ikut yang PALING MUNGKIN BENAR?",,"Meskipun pameran lukisan diadakan di pulau lain, jumlah kunjungan wisa-
tawan ke Pulau ABC tetap meningkat.
",Jumlah wisatawan akan mengalami penurunan ketika tidak diadakan kegiatan pameran lukisan di Pulau ABC.,Mengadakan festival seni tradisional atau pameran lukisan di pulau lain akan menurunkan jumlah wisatawan di Pulau ABC.,Mengadakan perayaan adat meningkatkan jumlah wisatawan dibandingkan dengan tidak mengadakannya.,"Mengadakan festival seni tradisional atau pameran lukisan di Pulau ABC
meningkatkan jumlah kunjungan wisatawan.

",e,5
"Banyaknya rumah kosong yang terbengkalai di suatu kampung menyebabkan ru-
mah ditumbuhi tanaman liar. Banyaknya tanaman liar menyebabkan munculnya

banyak nyamuk. Meskipun pengurus kampung telah melakukan sosialisasi pola
hidup sehat, namun angka penyakit malaria tidak menurun karena banyaknya
nyamuk di kampung tersebut.
Berdasarkan informasi di atas, manakah pernyataan di bawah ini yang BENAR?",,"Meningkatnya kasus malaria disebabkan oleh banyaknya rumah kosong ter-
bengkalai.","Lebatnya tanaman liar disebabkan kurang tepatnya sosialisasi pola hidup
sehat oleh pengurus kampung.",Banyaknya nyamuk menyebabkan pengurus kampung melakukan sosialisasi pola hidup sehat.,"Adanya sosialisasi pola hidup sehat menjadikan banyak rumah kosong ter-
bengkalai.","Banyaknya nyamuk di kampung tersebut disebabkan oleh banyaknya rumah
terbengkalai.",a,5
"Listrik banyak digunakan orang untuk mendapatkan pencahayaan di dalam ru-
angan. Selain itu, listrik juga menjadi sarana untuk menggerakkan mesin di

pabrik. Namun, penggunaan listrik yang berlebihan dapat menyebabkan dam-
pak negatif bagi diri sendiri dan lingkungan. Penggunaan listrik yang berlebihan

dapat membebani anggaran rumah tangga dan meningkatkan polusi udara.

Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI SA-
LAH?",,"Polusi udara meningkat karena penggunaan listrik yang berlebihan.
",Anggaran rumah tangga meningkat karena penggunaan listrik., Listrik dapat menyebabkan orang dapat mengatur suhu ruangan.,Pengguna peralatan elektronik mungkin tidak menggunakan listrik.,Penggunaan listrik berlebihan tidak menyebabkan polusi udara dan air.,e,5
"Mengonsumsi sayuran mentah banyak dilakukan karena rasanya yang segar dan

variasinya berbagai macam. Salah satu jenis sayuran mentah yang banyak dikon-
sumsi adalah sayuran jenis X yang warnanya yang cerah dan banyak mengandung

air.
Berdasarkan paparan tersebut, manakah simpulan yang PALING TEPAT?",,Semua sayuran yang masih mentah banyak mengandung air.,Sayuran mentah selain jenis X tidak memiliki warna yang cerah.,Hanya sayuran mentah jenis X yang variasinya berbagai macam.,Beberapa orang makan sayuran mentah jenis X karena menggugah selera.,Sayuran mentah yang rasanya segar pasti warnanya cerah.,d,5
"Saat ini hanya ada beberapa penjual asongan di stasiun kota karena stasiun kota
sepi penumpang. Biasanya, jika jam kantor selesai, stasiun kota ramai dipenuhi
penumpang.
Berdasarkan pernyataan di atas, manakah simpulan yang BENAR?",,Saat ini waktunya jam kantor selesai.,Saat ini stasiun kota ramai oleh penumpang.,Saat ini bukan waktunya jam kantor selesai.,Saat ini stasiun kota ramai dengan pedagang asongan.,Saat ini banyak penumpang kereta di stasiun kota.,c,5
"Siswa X menjuarai olimpiade matematika berkat dukungan keluarga dan dorong-
an dalam dirinya. Adanya dorongan dalam diri terlihat dari pengurangan waktu

bermain dan intensitas mengikuti bimbingan di luar kelas. Selain itu, dukungan
keluarga menyebabkan siswa lebih percaya diri yang ditunjukkan oleh sikapnya
yang tenang saat menghadapi lomba dan optimis saat mengikuti kejuaraan.
Jika siswa X merasa optimis saat mengikuti kejuaraan, manakah kesimpulan di
bawah ini yang PALING MUNGKIN BENAR?",,"Keluarganya memberikan dukungan penuh kepada siswa tersebut.
",Siswa tersebut secara konsisten mengurangi waktu bermainnya.,Siswa X memiliki dorongan yang sangat kuat untuk menjadi juara.,Siswa tersebut mengikuti bimbingan belajar dengan konsentrasi yang tinggi.,Siswa tersebut sering menjuarai perlombaan olimpiade matematika.,a,5
,,,,,,,b,5
,,,,,,,e,5
,,,,,,,b,5
,,,,,,,c,5
,,,,,,,c,5
,,,,,,,b,5
,,,,,,,e,5
,,,,,,,a,5
,,,,,,,b,5
,,,,,,,c,5
,,,,,,,a,5
,,,,,,,a,5
,,,,,,,c,5
,,,,,,,e,5
,,,,,,,e,5
,,,,,,,d,5
,,,,,,,d,5
,,,,,,,c,5
,,,,,,,d,5
,,,,,,,a,5
,,,,,,,b,5
